value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,transport_header_type,count,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,,,syscall_exit_socket,,,,,0,,104033059,,,sudoTracing.sh,,,,,409792,,,,,,,,,,,,,,,,,,,,,0,,,,534,,,,,,,,,0,,,0,,,,,,,,-93,,,,,,,,,,,92246242722438,,,49,,,,,,,,
,,,,,,,,,,,sched_process_exit,,,,,0,,104033059,,,modprobe8:9,,,,,409792,,,,,,,,,,,,,,,,16018,,,,,0,,,,3,,,,,,,,,0,,,0,,modprobe8:9,,,,,,,,,,20,,,,,,,9113273,,,49,,,,,,,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,104033059,,4,swapper/0,,,,,409792,1,,3216150895,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,35525,4226,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2566816312,,1322077219,,,,,64,10096914,,,49,1500,,40460,16,,6,,
,,,,,,1,,kworker/u8:9,,,sched_process_fork,,4026531836,16021,,0,,104033059,16021,,kworker/u8:9,,,,,409792,,7737,,,,16021,,,,,,,,,,,,,,,0,,,,9,,,,,,,,,0,,7737,0,,,,,kworker/u8:9,,,,,,,,,,4026531836,,,,10399621,,,49,,,,,,,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,104033059,,4,kworker/u8:9,,,,,409792,1,,3216155239,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,35528,4223,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2566817464,,1322077219,,,,,64,10471600,,,49,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,104033059,,4,in:imuxsock,,,,,409792,1,,3216161031,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,35532,4219,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2566819000,,1322077219,,,,,64,10947535,,,49,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,104033059,,4,in:imuxsock,,,,,409792,1,,3216162479,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,35533,4218,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2566819384,,1322077219,,,,,64,11071076,,,49,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,104033059,,4,rs:main Q:Reg,,,,,409792,1,,3216163927,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,35534,4217,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2566819768,,1322077219,,,,,64,11211857,,,49,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,104033059,,4,rs:main Q:Reg,,,,,409792,1,,3216165375,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,35535,4216,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2566820152,,1322077219,,,,,64,11304096,,,49,1500,,40460,16,,6,,
,,,,,,,,,,95,syscall_write,,,,,0,,208066118,,,rs:main Q:Reg,,,,,409792,,,,,,,,,,,,,,,,,,,,,0,9,,,18,,,,,,,,,0,,,0,,,,,,1981937456,,95,,,,,,,,,,,11240971,,,49,,,,,,,,
