value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,transport_header_type,count,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,1,,net_dev_queue,229,,,,0,,504201042,,4,swapper/0,,,,,713104,1,,3227559151,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,43511,61775,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2501631288,,1322077219,,,,,64,45480484,,,67,1500,,40460,16,,6,,
,,16,,,,,,,,,syscall_socket,,,,,0,,1008402084,,,sudoTracing.sh,,,,,713104,,,,,,,,,,,,,,,3,,,,,,0,,,,231,,,,,,,,,0,,,0,,,,,,,,-93,,,,,,,,,,,92251912835074,,,67,,,,,,9,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,504201042,,4,sudoTracing.sh,,,,,713104,1,,3227560599,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,43512,61774,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2501631672,,1322077219,,,,,64,45604442,,,67,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,504201042,,4,swapper/0,,,,,713104,1,,3227562047,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,43513,61773,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2564325560,,1322077219,,,,,64,45725431,,,67,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,504201042,,4,swapper/0,,,,,713104,1,,3227563495,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,43514,61772,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2564325944,,1322077219,,,,,64,45847409,,,67,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,504201042,,4,swapper/0,,,,,713104,1,,3227564943,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,43515,61771,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2564326328,,1322077219,,,,,64,45974961,,,67,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,504201042,,4,swapper/0,,,,,713104,1,,3227566391,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,43516,61770,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2564326712,,1322077219,,,,,64,46094023,,,67,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,504201042,,4,swapper/0,,,,,713104,1,,3227567839,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,43517,61769,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2564327096,,1322077219,,,,,64,46214074,,,67,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,504201042,,4,swapper/0,,,,,713104,1,,3227569287,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,43518,61768,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2564327480,,1322077219,,,,,64,46332719,,,67,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,504201042,,4,swapper/0,,,,,713104,1,,3227570735,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,43519,61767,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2564327864,,1322077219,,,,,64,46462875,,,67,1500,,40460,16,,6,,
