value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,count,transport_header_type,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,state,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,nodep,ruid,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,4096,,syscall_read,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,2749584,,0,,,,,,,,,,,12508265,,,34,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,12511546,,,34,,,,,,,,
,,,,,,,,,,1,net_dev_queue,229,,,,0,,420875134,,4,,,,,,638944,,1,,3205140085,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,27826,11925,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,3072173368,,1322077219,,,,,64,12552431,,,34,1500,,40460,16,,6,,
,,,,0,,,,,,,syscall_open,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modprobe.d/fbdev-blacklist.conf,,,,,12518994,,,34,,,,655360,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,2749584,,390,,,,,,,,,,,12578890,,,34,,,,,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,2749584,,0,,,,,,,,,,,12631806,,,34,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,12635608,,,34,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/modprobe.d/ipv6.conf,,,,,12643525,,,34,,,,655360,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,2749584,,65,,,,,,,,,,,12689358,,,34,,,,,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,2749584,,0,,,,,,,,,,,12699618,,,34,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,12702952,,,34,,,,,,,,
