value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,transport_header_type,count,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,state,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,1,,net_dev_queue,229,,,,0,,157380576,,4,,,,,,431824,,1,,3180921220,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,10921,28830,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2735943224,,1322077219,,,,,64,4644016,,,4,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,157380576,,4,,,,,,431824,,1,,3180925564,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,10924,28827,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2735944376,,1322077219,,,,,64,5021514,,,4,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,157380576,,4,,,,,,431824,,1,,3180927012,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,10925,28826,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2735944760,,1322077219,,,,,64,5135212,,,4,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,157380576,,4,,,,,,431824,,1,,3180928460,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,10926,28825,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2735945144,,1322077219,,,,,64,5254118,,,4,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,157380576,,4,,,,,,431824,,1,,3180929908,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,10927,28824,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2735945528,,1322077219,,,,,64,5404742,,,4,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,157380576,,4,,,,,,431824,,1,,3180931356,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,10928,28823,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2735945912,,1322077219,,,,,64,5519377,,,4,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,157380576,,4,,,,,,431824,,1,,3180932804,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,10929,28822,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2735946296,,1322077219,,,,,64,5650001,,,4,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,157380576,,4,,,,,,431824,,1,,3180934252,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,10930,28821,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2735946680,,1322077219,,,,,64,5779896,,,4,1500,,40460,16,,6,,
,,,,,,,,,,,syscall_exit_socket,,,,,0,,157380576,,,sudoTracing.sh,,,,,431824,,,,,,,,,,,,,,,,,,,,,,0,,,,534,,,,,,,,,0,,,0,,,,,,,,-93,,,,,,,,,,,92231878369195,,,4,,,,,,,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,157380576,,4,swapper/0,,,,,431824,,1,,3180935700,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,10931,28820,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2735947064,,1322077219,,,,,64,5908750,,,4,1500,,40460,16,,6,,
