value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,transport_header_type,count,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,state,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,1,,net_dev_queue,229,,,,0,,244918864,,4,,,,,,606904,,1,,3221372404,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,39191,560,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545378232,,1322077219,,,,,64,119714304,,,59,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,244918864,,4,,,,,,606904,,1,,3221373852,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,39192,559,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545377848,,1322077219,,,,,64,119730137,,,59,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,244918864,,4,,,,,,606904,,1,,3221375300,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,39193,558,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545377464,,1322077219,,,,,64,119767324,,,59,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,244918864,,4,,,,,,606904,,1,,3221376748,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,39194,557,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545384760,,1322077219,,,,,64,119783262,,,59,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,244918864,,4,,,,,,606904,,1,,3221378196,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,39195,556,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545385144,,1322077219,,,,,64,119821803,,,59,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,244918864,,4,,,,,,606904,,1,,3221379644,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,39196,555,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,3070628920,,1322077219,,,,,64,119842949,,,59,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,244918864,,4,,,,,,606904,,1,,3221381092,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,39197,554,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,3070629304,,1322077219,,,,,64,119884824,,,59,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,244918864,,4,,,,,,606904,,1,,3221382540,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,39198,553,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,3070629688,,1322077219,,,,,64,119902741,,,59,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,244918864,,4,,,,,,606904,,1,,3221383988,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,39199,552,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,3070630072,,1322077219,,,,,64,119935240,,,59,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,244918864,,4,,,,,,606904,,1,,3221385436,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,39200,551,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,3070628536,,1322077219,,,,,64,119958574,,,59,1500,,40460,16,,6,,
