value,optlen,family,argv,mode,size,path,_vtids_length,tidptr,parent_comm,count,transport_header_type,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,state,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,,,,,,1640856,,1,,3187196483,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15302,24449,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2609339320,,1322077219,,,,,64,28455190,,,12,1500,,40460,16,,6,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,,,,,,1640856,,1,,3187199379,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15304,24447,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2609340088,,1322077219,,,,,64,28677376,,,12,1500,,40460,16,,6,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,,,,,,1640856,,1,,3187200827,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15305,24446,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2638274744,,1322077219,,,,,64,28816282,,,12,1500,,40460,16,,6,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,,,,,,1640856,,1,,3187202275,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15306,24445,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2638275128,,1322077219,,,,,64,28933990,,,12,1500,,40460,16,,6,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,,,,,,1640856,,1,,3187203723,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15307,24444,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2638275512,,1322077219,,,,,64,29063573,,,12,1500,,40460,16,,6,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,,,,,,1640856,,1,,3187205171,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15308,24443,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2638275896,,1322077219,,,,,64,29182791,,,12,1500,,40460,16,,6,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,,,,,,1640856,,1,,3187206619,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15309,24442,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2638276280,,1322077219,,,,,64,29302165,,,12,1500,,40460,16,,6,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,,,,,,1640856,,1,,3187208067,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15310,24441,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2638276664,,1322077219,,,,,64,29430290,,,12,1500,,40460,16,,6,,
,,,,16384,,,,,,,,syscall_open,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/modprobe.d,,,,,29485914,,,12,,,,673792,,,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,,,,,,1640856,,1,,3187209515,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15311,24440,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2638277048,,1322077219,,,,,64,29559924,,,12,1500,,40460,16,,6,,
,,,,,,,,,,32768,,syscall_getdents64,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,178,,,,,,,,,0,,,0,,,,,,,,208,,,,,,,,,,,92234049545216,,,12,,,,,,,,15311184
,,,,,,,,,,32768,,syscall_getdents64,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,178,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,92234049641778,,,12,,,,,,,,15311184
,,,,,,,,,,,,syscall_close,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,29617580,,,12,,,,,,,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,,,,,,1640856,,1,,3187210963,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15312,24439,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2638277432,,1322077219,,,,,64,29678309,,,12,1500,,40460,16,,6,,
,,,,16384,,,,,,,,syscall_open,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modprobe.d,,,,,29654924,,,12,,,,673792,,,,
,,,,,,,,,,32768,,syscall_getdents64,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,178,,,,,,,,,0,,,0,,,,,,,,120,,,,,,,,,,,92234049730684,,,12,,,,,,,,15344128
,,,,,,,,,,32768,,syscall_getdents64,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,178,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,92234049753808,,,12,,,,,,,,15344128
,,,,,,,,,,,,syscall_close,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,29729403,,,12,,,,,,,,
,,,,0,,,,,,,,syscall_open,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modprobe.d/aliases.conf,,,,,29739976,,,12,,,,655360,,,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,,,,,,1640856,,1,,3187212411,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15313,24438,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2638277816,,1322077219,,,,,64,29806850,,,12,1500,,40460,16,,6,,
,,,,,,,,,,4096,,syscall_read,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,15312016,,655,,,,,,,,,,,29823517,,,12,,,,,,,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,,,,,,1640856,,1,,3187213859,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15314,24437,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2638278200,,1322077219,,,,,64,29903152,,,12,1500,,40460,16,,6,,
,,,,,,,,,,4096,,syscall_read,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,15312016,,0,,,,,,,,,,,29919089,,,12,,,,,,,,
,,,,,,,,,,,,syscall_close,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,29925860,,,12,,,,,,,,
,,,,0,,,,,,,,syscall_open,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/modprobe.d/blacklist-rtl8192cu.conf,,,,,29937214,,,12,,,,655360,,,,
