value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,transport_header_type,count,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,info,vtids,version,p_name,egid,grouplist,tcache,head,content_size,state,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,0,,,,,,,syscall_open,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/modprobe.d/blacklist-rtl8192cu.conf,,,,,17643970,,,73,,,,655360,,,,
,,,,,,,,,,4096,syscall_read,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,9258128,,20,,,,,,,,,,,17661365,,,73,,,,,,,,
,,,,,,,,,,4096,syscall_read,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,9258128,,0,,,,,,,,,,,17670376,,,73,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,17673657,,,73,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/modprobe.d/blacklist-rtl8xxxu.conf,,,,,17681574,,,73,,,,655360,,,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,458380316,,,4,modprobe8:0,,,,,644160,,1,,3232462181,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,46933,58353,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545221816,,1322077219,,,,,64,17714334,,,73,1500,,40460,16,,6,,
,,,,,,,,,,4096,syscall_read,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,9258128,,19,,,,,,,,,,,17729803,,,73,,,,,,,,
,,,,,,,,,,4096,syscall_read,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,9258128,,0,,,,,,,,,,,17737875,,,73,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,17741365,,,73,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/modprobe.d/dkms.conf,,,,,17760427,,,73,,,,655360,,,,
,,,,,,,,,,4096,syscall_read,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,9258128,,127,,,,,,,,,,,17774802,,,73,,,,,,,,
,,,,,,,,,,4096,syscall_read,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,9258128,,0,,,,,,,,,,,17782563,,,73,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,17785792,,,73,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modprobe.d/fbdev-blacklist.conf,,,,,17793396,,,73,,,,655360,,,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,458380316,,,4,modprobe8:0,,,,,644160,,1,,3232463629,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,46934,58352,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545222200,,1322077219,,,,,64,17832719,,,73,1500,,40460,16,,6,,
,,,,,,,,,,4096,syscall_read,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,9258128,,390,,,,,,,,,,,17808135,,,73,,,,,,,,
,,,,,,,,,,4096,syscall_read,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,9258128,,0,,,,,,,,,,,17905270,,,73,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,17909073,,,73,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/modprobe.d/ipv6.conf,,,,,17916989,,,73,,,,655360,,,,
,,,,,,,,,,4096,syscall_read,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,9258128,,65,,,,,,,,,,,17931260,,,73,,,,,,,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,458380316,,,4,modprobe8:0,,,,,644160,,1,,3232465077,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,46935,58351,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545222584,,1322077219,,,,,64,17961624,,,73,1500,,40460,16,,6,,
,,,,,,,,,,4096,syscall_read,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,9258128,,0,,,,,,,,,,,17974645,,,73,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,17978656,,,73,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modules/4.9.80-v7+/modules.softdep,,,,,17987093,,,73,,,,655360,,,,
,,,,,,,,,,4096,syscall_read,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,9258128,,55,,,,,,,,,,,18005635,,,73,,,,,,,,
,,,,,,,,,,4096,syscall_read,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,9258128,,0,,,,,,,,,,,18011312,,,73,,,,,,,,
