value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,count,transport_header_type,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,state,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,envp,tos,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,,,syscall_getpid,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,69820211,,,19,,,,,,,,
,,,,,,,,,,,syscall_getpid,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,69857399,,,19,,,,,,,,
,,,,,,,,,,,syscall_getpid,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,69887138,,,19,,,,,,,,
,,,,438,,,,,,,syscall_open,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,3,,,3,,,,,,,,15,,,,,,/proc/sudoTracing.sh/cgroup,,,,,70087033,,,19,,,,655360,,,,
,,,,,,,,,1024,,syscall_read,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,15,,,17,,,,,,,,,3,,,3,,,,,,6359640,,143,,,,,,,,,,,70164949,,,19,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,15,,,20,,,,,,,,,3,,,3,,,,,,,,0,,,,,,,,,,,70281615,,,19,,,,,,,,
,,,,438,,,,,,,syscall_open,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,3,,,3,,,,,,,,15,,,,,,/proc/sudoTracing.sh/comm,,,,,70349740,,,19,,,,655360,,,,
,,,,,,,,,1024,,syscall_read,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,15,,,17,,,,,,,,,3,,,3,,,,,,6359640,,5,,,,,,,,,,,70389740,,,19,,,,,,,,
,,,,,,,,,,,sched_process_exec,,,,15475,0,,212264123,,,kworker/u8:0,,,,,169840,,,,,,,,,,,,,,,,,15475,,,,,0,,,,8,,,,,,,,,1,,,1,,,,,,,,,,,,,,/sbin/modprobe,,,,,70398594,,,19,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,15,,,20,,,,,,,,,3,,,3,,,,,,,,0,,,,,,,,,,,70407188,,,19,,,,,,,,
,,,,,,,,,,,syscall_readlinkat,,,,,0,-100,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,276,,,,,,,,,3,,,3,/proc/sudoTracing.sh/exe,,,,,6301200,,13,,,,,,,,,,,92235969517493,99,,19,,,,,,,,
,,,,438,,,,,,,syscall_open,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,3,,,3,,,,,,,,15,,,,,,/proc/sudoTracing.sh/cmdline,,,,,70502760,,,19,,,,655360,,,,
,,,,,,,,,1024,,syscall_read,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,15,,,17,,,,,,,,,3,,,3,,,,,,6359640,,27,,,,,,,,,,,70548437,,,19,,,,,,,,
,,,,,,,,,1024,,syscall_read,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,15,,,17,,,,,,,,,3,,,3,,,,,,6359640,,0,,,,,,,,,,,70594843,,,19,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,15,,,20,,,,,,,,,3,,,3,,,,,,,,0,,,,,,,,,,,70614322,,,19,,,,,,,,
,,,,0,,,,,,,syscall_access,,,,,0,,424528246,,,kworker/u8:0,,,,,169840,,,,,,,,,,,,,,,,,,,,,,0,,,,36,,,,,,,,,1,,,1,,,,,,,,-2,,,,,,,,,,,92235969704315,,,19,,,,,,,,
,,,,438,,,,,,,syscall_open,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,3,,,3,,,,,,,,15,,,,,,/proc/sudoTracing.sh/status,,,,,70641197,,,19,,,,655360,,,,
,,,,4,,,,,,,syscall_access,,,,,0,,424528246,,,kworker/u8:0,,,,,169840,,,,,,,,,,,,,,,,,,,,,,0,,,,36,,,,,,,,,1,,,1,,,,,,,,0,,,,,,/etc/ld.so.preload,,,,,92235969777909,,,19,,,,,,,,
,,,,3,,,,,,,syscall_open,,,,,0,,424528246,,,kworker/u8:0,,,,,169840,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,1,,,1,,,,,,,,0,,,,,,/etc/ld.so.preload,,,,,70718436,,,19,,,,524288,,,,
,,,,,,,,,,,syscall_close,,,,,0,,424528246,,,kworker/u8:0,,,,,169840,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,1,,,1,,,,,,,,0,,,,,,,,,,,70751301,,,19,,,,,,,,
,,,,,,,,,2048,,syscall_read,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,15,,,17,,,,,,,,,3,,,3,,,,,,6359640,,937,,,,,,,,,,,70689686,,,19,,,,,,,,
,,,,,,,,,1024,,syscall_read,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,15,,,17,,,,,,,,,3,,,3,,,,,,6360577,,0,,,,,,,,,,,70811300,,,19,,,,,,,,
,,,,14688,,,,,,,syscall_open,,,,,0,,424528246,,,kworker/u8:0,,,,,169840,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,1,,,1,,,,,,,,0,,,,,,/usr/lib/arm-linux-gnueabihf/libarmmem.so,,,,,70795519,,,19,,,,524288,,,,
,,,,,,,,,,,syscall_close,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,15,,,20,,,,,,,,,3,,,3,,,,,,,,0,,,,,,,,,,,70823332,,,19,,,,,,,,
,,,,,,,,,512,,syscall_read,,,,,0,,424528246,,,kworker/u8:0,,,,,169840,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,1,,,1,,,,,,2125051920,,512,,,,,,,,,,,70819009,,,19,,,,,,,,
,,,,,,,,,1000,,syscall_read,,,,,0,,424528246,,,kworker/u8:0,,,,,169840,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,1,,,1,,,,,,2125050664,,1000,,,,,,,,,,,70837342,,,19,,,,,,,,
,,,,,,,,,45,,syscall_read,,,,,0,,424528246,,,kworker/u8:0,,,,,169840,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,1,,,1,,,,,,2125050608,,45,,,,,,,,,,,70848071,,,19,,,,,,,,
,,,,438,,,,,,,syscall_open,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,3,,,3,,,,,,,,-2,,,,,,/proc/sudoTracing.sh/sessionid,,,,,70859790,,,19,,,,655360,,,,
,,,,438,,,,,,,syscall_open,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,3,,,3,,,,,,,,-2,,,,,,/proc/sudoTracing.sh/loginuid,,,,,70910050,,,19,,,,655360,,,,
,,,,438,,,,,,,syscall_open,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,3,,,3,,,,,,,,15,,,,,,/proc/sudoTracing.sh/cgroup,,,,,71067862,,,19,,,,655360,,,,
