value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,transport_header_type,count,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,info,vtids,version,p_name,egid,grouplist,tcache,head,content_size,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,,,,,,306952,1,,3233362616,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47567,57719,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,3073882296,,1322077219,,,,,64,17031379,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,,,,,,306952,1,,3233364064,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47568,57718,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,3073883832,,1322077219,,,,,64,17046014,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,,,,,,306952,1,,3233365512,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47569,57717,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,3073883448,,1322077219,,,,,64,17083149,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,,,,,,306952,1,,3233366960,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47570,57716,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,3073882680,,1322077219,,,,,64,17099868,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,,,,,,306952,1,,3233368408,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47571,57715,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,3073883064,,1322077219,,,,,64,17142837,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,,,,,,306952,1,,3233369856,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47572,57714,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2501607096,,1322077219,,,,,64,17160493,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,,,,,,306952,1,,3233371304,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47573,57713,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2501606712,,1322077219,,,,,64,17177576,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,,,,,,306952,1,,3233372752,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47574,57712,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2501606328,,1322077219,,,,,64,17215128,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,,,,,,306952,1,,3233374200,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47575,57711,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2501605944,,1322077219,,,,,64,17230649,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,,,,,,306952,1,,3233375648,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47576,57710,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2501605560,,1322077219,,,,,64,17268044,,,75,1500,,40460,16,,6,,
