value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,transport_header_type,count,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,nodep,ruid,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,1,,net_dev_queue,229,,,,0,,590103667,,4,,,,,,940712,1,,3220030777,,98,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,38250,2917,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545076664,,1322077219,,,,,64,79524839,,,57,84,,40460,24,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,590103667,,4,,,,,,940712,1,,3220030809,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,38251,1500,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545077048,,1322077219,,,,,64,79578693,,,57,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,590103667,,4,,,,,,940712,1,,3220032257,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,38252,1499,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545077432,,1322077219,,,,,64,79597859,,,57,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,590103667,,4,,,,,,940712,1,,3220033705,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,38253,1498,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545077816,,1322077219,,,,,64,79613068,,,57,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,590103667,,4,,,,,,940712,1,,3220035153,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,38254,1497,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545076280,,1322077219,,,,,64,79627130,,,57,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,590103667,,4,,,,,,940712,1,,3220036601,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,38255,1496,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545075896,,1322077219,,,,,64,79659213,,,57,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,590103667,,4,,,,,,940712,1,,3220038049,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,38256,1495,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545075512,,1322077219,,,,,64,79675151,,,57,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,590103667,,4,,,,,,940712,1,,3220039497,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,38257,1494,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545075128,,1322077219,,,,,64,79689109,,,57,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,590103667,,4,,,,,,940712,1,,3220040945,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,38258,1493,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545074744,,1322077219,,,,,64,79721505,,,57,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,590103667,,4,,,,,,940712,1,,3220042393,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,38259,1492,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545074360,,1322077219,,,,,64,79737546,,,57,1500,,40460,16,,6,,
